utility,month,arrears_c,arrears_d
Orange & Rockland,2019-08,16509,11855487
Niagara Mohawk Power Corp,2019-08,192137,204534548
KEDNY,2019-08,158828,70226676
Con Edison,2019-08,275563,314751768
KEDLI,2019-08,43518,25372227
National Fuel,2019-08,47428,21635629.22
RG&E,2019-08,64150,42620400
Central Hudson,2019-08,22218,9379971
NYSEG,2019-08,93817,39124154
Orange & Rockland,2019-09,18014,12319115
RG&E,2019-09,65104,41584408
NYSEG,2019-09,94235,37278019
KEDNY,2019-09,160092,66874008
Con Edison,2019-09,278696,311879486
Central Hudson,2019-09,22162,9254556
KEDLI,2019-09,40036,21556241
Niagara Mohawk Power Corp,2019-09,196025,199329957
National Fuel,2019-09,49615,29174764.58
Central Hudson,2019-10,22216,9056240
Orange & Rockland,2019-10,19028,12491317
Niagara Mohawk Power Corp,2019-10,195476,198867731
National Fuel,2019-10,52390,23689454.06
NYSEG,2019-10,89463,35333444
RG&E,2019-10,62002,40348554
KEDLI,2019-10,39663,19725590
Con Edison,2019-10,277748,312437867
KEDNY,2019-10,148699,61767361
KEDNY,2019-11,152332,60448027
NYSEG,2019-11,60674,39598406
Niagara Mohawk Power Corp,2019-11,206397,198668526
National Fuel,2019-11,50190,23607801
KEDLI,2019-11,39475,18892389
Orange & Rockland,2019-11,18218,12204566
Con Edison,2019-11,297864,317311904
RG&E,2019-11,60674,39598406
Central Hudson,2019-11,22498,9042524
Central Hudson,2019-12,21493,8646657
Orange & Rockland,2019-12,16683,11112266
Con Edison,2019-12,300283,324611621
KEDLI,2019-12,41756,18610362
KEDNY,2019-12,157057,74804358
Niagara Mohawk Power Corp,2019-12,202538,194661093
RG&E,2019-12,55887,37429834
NYSEG,2019-12,86710,32246241
National Fuel,2019-12,46873,22855430
KEDNY,2020-01,141655,59113375
RG&E,2020-01,54393,36400064
NYSEG,2020-01,84654,30593855
Central Hudson,2020-01,20843,8527521
KEDLI,2020-01,38004,18191304
Niagara Mohawk Power Corp,2020-01,188511,193552766
National Fuel,2020-01,45374,22962454
Orange & Rockland,2020-01,15822,10755709
Con Edison,2020-01,302057,330866956
Con Edison,2020-02,295916,325138786
Central Hudson,2020-02,20428,8410901
Niagara Mohawk Power Corp,2020-02,191398,197232333.6
National Fuel,2020-02,43008,22792379
KEDLI,2020-02,37262,19057184
NYSEG,2020-02,91422,26100199
Orange & Rockland,2020-02,16447,11319930
KEDNY,2020-02,140399,61938280
RG&E,2020-02,59922,33557476
RG&E,2020-03,58307,34993693
Con Edison,2020-03,301014,332715884
